edicao,ano,nome,qtd
86,2012,Almox. Doce,4
86,2012,Almox. Souvenir,3
86,2012,Almoxarifado,16
86,2012,Almoxarifado Bebida,14
86,2012,Apoio,20
86,2012,Banda,30
86,2012,Bar I,10
86,2012,Bar I Cantina,7
86,2012,Bar II,10
86,2012,Bar II Cantina,6
86,2012,Bar III,7
86,2012,Brinquedo,12
86,2012,Calabresa Brasa,15
86,2012,Calabresa Chapa I,16
86,2012,Calabresa Chapa II,11
86,2012,Churrasco Brasa,10
86,2012,Churrasco Chapa I,12
86,2012,Churrasco Chapa II,11
86,2012,Compras,2
86,2012,Convites,4
86,2012,Cozinha,35
86,2012,Distribuição de Alimentos,7
86,2012,Doce Cantina,6
86,2012,Doce I,11
86,2012,Doce II,10
86,2012,Equipe de Festa,12
86,2012,Equipe Suplente,7
86,2012,Excluir,1
86,2012,Externa,2
86,2012,Externa Setor I,2
86,2012,Externa Setor II,2
86,2012,Externa Setor III,2
86,2012,Externa Setor Iv,2
86,2012,Fé e Compromisso,22
86,2012,Fila,64
86,2012,Filmagem,2
86,2012,Fogazza,6
86,2012,Fogazza I,134
86,2012,Fogazza II,69
86,2012,Fogazza Interna,4
86,2012,Fotógrafo,2
86,2012,Fricazza Barraca,13
86,2012,Fricazza Produção,19
86,2012,Interna,2
86,2012,Latinha I,8
86,2012,Latinha II,7
86,2012,Latinha III,8
86,2012,Leilão,10
86,2012,Livre,257
86,2012,Macarrão I,19
86,2012,Macarrão II,15
86,2012,Macarrão III,15
86,2012,Macarrão Iv,21
86,2012,Manutenção,4
86,2012,Ped. de Amor I Barr.,4
86,2012,Ped. de Amor II Barr.,6
86,2012,Ped. de Amor III Barr.,4
86,2012,Pedaços de Amor Produção,28
86,2012,Pessoal,12
86,2012,Pessoal/informática,1
86,2012,Pizza I,10
86,2012,Pizza II,10
86,2012,Polenta I,10
86,2012,Polenta II,16
86,2012,Portaria,25
86,2012,Prest.serviços,3
86,2012,Prestadores de Serviços,10
86,2012,Produção Polenta,4
86,2012,Recreação,36
86,2012,Rel. Públicas,2
86,2012,Rel.públicas,4
86,2012,Religioso,6
86,2012,Rifa,16
86,2012,Secretaria,2
86,2012,Setor a,16
86,2012,Setor B,19
86,2012,Setor C,17
86,2012,Setor D,17
86,2012,Souvenir Externo,9
86,2012,Souvenir Interno,15
86,2012,Supervisão Geral,3
86,2012,Suprimentos,3
86,2012,Típica,18
86,2012,VIsual,12
